  CrystFEL reflection list version 2.0                                
  Symmetry: mmm                                                       
   h    k    l          I    phase   sigma(I)   nmeas                 
   0    6   32    6179.99        -     479.51     279
   0    6   33       8.67        -      54.45     305
   0    6   34     786.23        -      79.78     272
   0    6   35      -6.76        -      51.16     258
   0    6   36     126.04        -      47.17     289
   0    6   37     301.96        -      43.21     296
   0    6   38    3134.57        -     172.34     302
   0    6   39     721.30        -      64.13     261
   0    6   40     193.67        -      32.95     248
   0    6   41    2370.88        -     165.38     277
   0    6   42     158.81        -      24.54     271
   0    6   43     180.66        -      25.11     255
   0    6   44     268.45        -      29.48     273
   0    6   45       4.22        -      17.60     234
   0    6   46      -0.37        -      14.33     217
   0    6   47      47.84        -      15.05     222
   0    6   48     156.93        -      23.80     220
   0    6   49      -4.50        -      11.90     189
   0    6   50      12.71        -      12.31     163
   0    6   51      28.33        -      11.70     144
   0    6   52      -6.22        -      11.21      96
   0    6   53      29.38        -      13.24      73
   0    6   54       5.63        -      10.59      51
   0    6   55      -7.62        -       7.84      47
   0    6   56     -14.07        -       9.28      35
   0    6   57       1.94        -       8.24      21
   0    6   58       4.20        -       6.09       4
   0    6   59       7.93        -       9.00      13
   0    7    0   -1532.47        -     868.12     766
   0    7    1   45748.17        -    2945.41    1455
   0    7    2    2035.37        -     459.28    1363
   0    7    3    1050.88        -     155.16    1406
   0    7    4   16581.20        -    1109.66    1296
   0    7    5   12230.68        -    1510.79    1157
   0    7    6  117389.53        -    8423.04    1163
   0    7    7   12906.18        -    1085.75    1026
   0    7    8   47279.40        -    3736.83     967
   0    7    9    5352.39        -     803.88     901
   0    7   10   10042.56        -     827.26     851
   0    7   11   85565.39        -    6575.75     716
   0    7   12   66596.35        -    4981.44     664
   0    7   13   25051.59        -    1809.26     618
   0    7   14   27825.35        -    1955.18     626
   0    7   15      80.64        -     160.82     561
   0    7   16    4582.13        -     375.86     554
   0    7   17    7961.64        -     564.61     556
   0    7   18   36639.33        -    2383.59     526
   0    7   19   17687.22        -    1197.03     506
   0    7   20    9723.77        -     764.55     454
   0    7   21   21011.70        -    1416.14     433
   0    7   22    2697.47        -     231.45     464
   0    7   23   29336.72        -    1691.14     436
   0    7   24     216.63        -     142.52     425
   0    7   25   19114.08        -    1229.57     381
   0    7   26    3999.00        -     275.89     381
   0    7   27   18581.36        -    1128.90     378
   0    7   28   11544.38        -     682.96     397
   0    7   29    1803.03        -     160.49     355
   0    7   30    1860.43        -     146.56     330
   0    7   31    1298.35        -     129.61     340
   0    7   32    6457.11        -     382.56     292
   0    7   33    3176.69        -     211.25     307
   0    7   34     805.82        -      80.34     288
   0    7   35     217.84        -      44.95     294
   0    7   36     165.57        -      44.68     276
   0    7   37     -11.84        -      43.31     238
   0    7   38    2868.65        -     183.69     277
   0    7   39     127.49        -      30.79     245
